,Discriminant,Class number,Time execution,Calculation times,Subexponentiality
0,-2379,16,0:00:00.491350,100,1
1,-3299,27,0:00:00.545748,100,1
2,-3896,36,0:00:00.406714,100,1
3,-4027,9,0:00:00.301541,100,1
4,-4895,64,0:00:00.451288,100,1
5,-5703,54,0:00:00.818227,100,1
6,-5795,32,0:00:00.454713,100,1
7,-6052,16,0:00:00.403308,100,1
8,-6123,16,0:00:00.355832,100,1
9,-6328,16,0:00:00.412450,100,1
10,-6355,16,0:00:00.542341,100,1
11,-6360,32,0:00:00.809322,100,1
12,-6392,32,0:00:00.510013,100,1
13,-6583,36,0:00:00.641923,100,1
14,-7059,32,0:00:00.526494,100,1
15,-7544,64,0:00:00.723727,100,1
16,-7672,16,0:00:00.444377,100,1
17,-8103,48,0:00:00.439527,100,1
18,-8555,32,0:00:00.384593,100,1
19,-8671,64,0:00:00.723538,100,1
20,-8751,72,0:00:00.626319,100,1
21,-9316,32,0:00:00.215309,100,1
22,-9503,80,0:00:00.592594,100,1
23,-9595,16,0:00:00.381761,100,1
24,-9748,18,0:00:00.561195,100,1
25,-9955,16,0:00:00.417554,100,1
26,-10015,54,0:00:00.698987,100,1
27,-10168,16,0:00:00.394024,100,1
28,-10295,128,0:00:00.931846,100,1
29,-10759,48,0:00:00.281464,100,1
30,-10803,16,0:00:00.681644,100,1
31,-10808,48,0:00:00.864372,100,1
32,-11199,100,0:00:01.136208,100,1
33,-11651,54,0:00:00.635006,100,1
34,-11972,48,0:00:00.447404,100,1
35,-12067,18,0:00:00.797402,100,1
36,-12095,128,0:00:00.594828,100,1
37,-12104,48,0:00:00.133807,100,1
38,-12131,36,0:00:00.516584,100,1
39,-12207,80,0:00:00.752250,100,1
40,-12451,25,0:00:00.538620,100,1
41,-12595,16,0:00:00.528069,100,1
42,-13048,32,0:00:00.955932,100,1
43,-13143,64,0:00:01.090446,100,1
44,-13359,96,0:00:00.684345,100,1
45,-13432,32,0:00:00.743214,100,1
46,-13727,112,0:00:00.738792,100,1
47,-14008,16,0:00:00.426480,100,1
48,-14155,16,0:00:00.666425,100,1
49,-14547,16,0:00:00.603676,100,1
50,-14795,32,0:00:00.354139,100,1
51,-15544,36,0:00:00.953888,100,1
52,-15655,96,0:00:00.905966,100,1
53,-15736,32,0:00:00.969068,100,1
54,-16627,18,0:00:00.646972,100,1
55,-16887,96,0:00:01.006716,100,1
56,-16895,96,0:00:00.701824,100,1
57,-17131,18,0:00:00.286740,100,1
58,-17272,32,0:00:00.993924,100,1
59,-17399,162,0:00:01.617262,100,1
60,-17427,16,0:00:00.936624,100,1
61,-17476,48,0:00:00.861345,100,1
62,-17723,54,0:00:01.069411,100,1
63,-17751,112,0:00:01.090115,100,1
64,-17944,50,0:00:00.934261,100,1
65,-18532,32,0:00:00.627557,100,1
66,-18555,36,0:00:00.724883,100,1
67,-18632,64,0:00:00.686688,100,1
68,-18872,64,0:00:01.008986,100,1
69,-19108,32,0:00:00.996652,100,1
70,-19187,36,0:00:00.885964,100,1
71,-19240,32,0:00:00.398067,100,1
72,-19427,27,0:00:00.934716,100,1
73,-19651,18,0:00:00.598976,100,1
74,-19679,162,0:00:01.522132,100,1
75,-19919,135,0:00:01.116687,100,1
76,-19947,16,0:00:00.551848,100,1
77,-20091,32,0:00:01.317832,100,1
78,-20148,32,0:00:00.293051,100,1
79,-20155,16,0:00:00.527608,100,1
80,-20276,72,0:00:00.982175,100,1
81,-20536,64,0:00:01.622962,100,1
82,-20568,36,0:00:01.826226,100,1
83,-20760,64,0:00:01.694609,100,1
84,-21224,72,0:00:00.910932,100,1
85,-21243,32,0:00:00.754975,100,1
86,-21395,64,0:00:00.914314,100,1
87,-21571,32,0:00:00.714811,100,1
88,-21668,72,0:00:00.980091,100,1
89,-21755,64,0:00:01.539887,100,1
90,-21895,96,0:00:01.746759,100,1
91,-22055,160,0:00:01.230266,100,1
92,-22127,128,0:00:00.828128,100,1
93,-22395,36,0:00:01.055339,100,1
94,-22443,18,0:00:00.798237,100,1
95,-22456,32,0:00:00.591655,100,1
96,-22711,126,0:00:01.782368,100,1
